U_AC_1_1,U_DC_1_1,Phase_1_1,U_AC_1_2,U_DC_1_2,Phase_1_2,U_AC_2_1,U_DC_2_1,Phase_2_1,U_AC_2_2,U_DC_2_2,Phase_2_2,U_AC_3_1,U_DC_3_1,Phase_3_1,U_AC_3_2,U_DC_3_2,Phase_3_2,U_AC_4_1,U_DC_4_1,Phase_4_1,U_AC_4_2,U_DC_4_2,Phase_4_2
9.765424103437048e-06,9.942875247511092e-06,-0.4395073056179565,1.3785125893663676e-05,1.393507559707975e-05,-0.3376800359240026,1.6924161168361332e-06,1.7334581379295548e-06,-0.5570088192181987,2.3076019708680985e-06,2.3413292823741387e-06,-0.4403638902086755,2.9537436294916085e-07,3.04021549390646e-07,-0.694266716598729,4.5271484300581e-07,4.608586432177329e-07,-0.5315589619437996,5.5654088379113225e-08,5.7736198999673524e-08,-0.8214817419705791,8.320264221656732e-08,8.489906567205617e-08,-0.6501657800414156
9.793622550482324e-06,9.971969903421647e-06,-0.438246063900163,1.4114478630973192e-05,1.4266205780603409e-05,-0.3376820767711008,1.6825278519085825e-06,1.723006029182516e-06,-0.5554905353688111,2.4581630199465176e-06,2.4940836519717984e-06,-0.4343072195046604,2.968670098118184e-07,3.05669879355264e-07,-0.6891533201616938,4.501653090533544e-07,4.583075445876795e-07,-0.5339083399786002,5.263212318935731e-08,5.4497816223972224e-08,-0.8414805148695225,8.801712983635177e-08,8.986299411657171e-08,-0.638098279265453
8.164786643911738e-06,8.302452478824316e-06,-0.4265772216788724,1.2152508661940749e-05,1.2273940911930053e-05,-0.3294781298576177,1.3638546706702996e-06,1.3936173065913442e-06,-0.543689830318633,2.014029469641833e-06,2.0403763615002192e-06,-0.4248894779056689,2.2622523845728198e-07,2.3229831956685827e-07,-0.6727246318418769,3.614258780056796e-07,3.672317869893977e-07,-0.5192047679732984,3.788146303372934e-08,3.9045823855515794e-08,-0.821980234790452,6.983129582563796e-08,7.116710036760965e-08,-0.6120100333061186
1.4428877515534173e-05,1.4751875267347503e-05,-0.4636191672984739,1.947448602307393e-05,1.9728515846656624e-05,-0.3575064333108027,2.7022381727490504e-06,2.7804619038189634e-06,-0.601945718426171,3.7267359891861578e-06,3.791164292336768e-06,-0.460697436163116,5.546626585137879e-07,5.750385750643225e-07,-0.735597250727737,7.368189797447468e-07,7.532046294479791e-07,-0.5659696478466604,1.1271603428796565e-07,1.1758966500450493e-07,-0.8792344629477534,1.6765135114812176e-07,1.7208619631321097e-07,-0.6602760464843066
1.3577733141302418e-05,1.3874300922909256e-05,-0.4610879627383373,1.9009941505273864e-05,1.9250005532552213e-05,-0.3531198274314628,2.5442416939662262e-06,2.6188834333356427e-06,-0.5913362852807845,3.6019544653920283e-06,3.662531901140155e-06,-0.4563578862011492,5.141684093811312e-07,5.331400049353948e-07,-0.7176614085428291,7.371053453642701e-07,7.525357860049548e-07,-0.5560278111963947,1.154056415149244e-07,1.202991665953996e-07,-0.8389990219913003,1.6150763141243033e-07,1.65535414047724e-07,-0.6511449912268402
9.97498069710723e-06,1.0160621111966873e-05,-0.4394206879768019,1.4510371837129324e-05,1.4669152970206766e-05,-0.3388978575075168,1.6693776751486796e-06,1.7106192508619032e-06,-0.5632516664892087,2.570785928122233e-06,2.607575685950162e-06,-0.4349863983313997,3.108344382488201e-07,3.200077774455414e-07,-0.6933233281204069,4.535045799381204e-07,4.617135284281356e-07,-0.5408173198191897,5.5380801281634594e-08,5.731598068958807e-08,-0.8465975700550405,9.65090905936243e-08,9.863871654327792e-08,-0.6296898175165233
1.1464202325399816e-05,1.1689350267136612e-05,-0.4460767667569409,1.6077299160018334e-05,1.626271644008561e-05,-0.3427207370725687,1.9852884478594424e-06,2.036216778483726e-06,-0.5747520702036615,2.957970959656754e-06,3.0022207684681197e-06,-0.4441369468330407,3.627227320170305e-07,3.7433277614851733e-07,-0.7127571761859941,5.417848293863926e-07,5.523060165382809e-07,-0.5446009614619236,7.026492469892916e-08,7.301545093894384e-08,-0.8521996824871261,1.1803535106487797e-07,1.2089258371103166e-07,-0.6416682692721303
8.017957273440281e-06,8.151906002246423e-06,-0.4247476201118867,1.1651799863384522e-05,1.1765598667089187e-05,-0.3309215928842218,1.28226402785205e-06,1.3097843227119774e-06,-0.5463949519282058,1.8607425643141387e-06,1.8854273324155707e-06,-0.4263762762075803,2.3127277201620867e-07,2.371447169765146e-07,-0.6615765055969984,3.454384352601207e-07,3.508325965117336e-07,-0.5266070622354139,3.77085700244788e-08,3.88469893220276e-08,-0.8010695407103863,5.950351433812156e-08,6.072230340339598e-08,-0.6234097789822324
1.0926815014249831e-05,1.1139432683343496e-05,-0.4469080833003135,1.5233561349937104e-05,1.5408200087622095e-05,-0.3451560998087045,1.9615396585662524e-06,2.011966470979725e-06,-0.5691551155740373,2.7301300176997143e-06,2.771801574926998e-06,-0.4448774158373794,3.5872290078755144e-07,3.699812500634912e-07,-0.7031458691801867,5.248653500337649e-07,5.346674779728873e-07,-0.5401170659895351,6.906933458276466e-08,7.178518596438825e-08,-0.8496536773094889,1.0214542828779086e-07,1.0454962226324227e-07,-0.6462203287063528
1.2423699829614557e-05,1.2683921685030467e-05,-0.4562854099774013,1.784148980126783e-05,1.80583576378985e-05,-0.3496304509302523,2.2898403293958165e-06,2.3528554475748933e-06,-0.5833058633467242,3.2843768669392367e-06,3.3382492433412883e-06,-0.4497613831706746,4.532748224166107e-07,4.680037924897705e-07,-0.7253613281260806,6.510303728646918e-07,6.637998682019513e-07,-0.5577399749620555,9.025357036814957e-08,9.388762825854353e-08,-0.8602571801888318,1.2959376884075457e-07,1.3275232448155293e-07,-0.6711057550295924
